FEED_D154,FEED_DS_005,FEED_DS_010,FEED_DS_090,FEED_DS_095,DIESEL_DS_005,DIESEL_DS_010,DIESEL_DS_090,DIESEL_DS_095,FEED_SULFUR,FEED_NITROGEN,FEED_KWATSON,PROCESS_T_WABT,X370PLUS,PROCESS_PP_H2_OUT,actual.values,PLANT_NAME,CYCLE,DATE
0.7646318446515029,0.45165973125759273,0.4923305127452426,0.8562269786873792,0.8840543554947184,0.3040172543661137,0.3641903684942856,0.7569626941367956,0.7851090061315575,0.3452543986644233,0.39026309389261654,0.3915536951288017,0.44939195296370316,0.9611996050295811,0.6681831765695933,0.9058723843967964,21.0,1,09/05/2016
0.7646318446515029,0.4687842708313395,0.5137361872124275,0.8690703833676899,0.9033194625151854,0.28971136625912586,0.3516857140593218,0.7479474828859339,0.7747281063832994,0.3661227843643621,0.3977023991759539,0.4103080780173144,0.4686770805240408,0.9629926127056722,0.6654352358053499,0.8981128046155169,21.0,1,11/05/2016
0.7967930158250677,0.49018994529852444,0.5437041314664849,0.8926166252815929,0.9247251369823705,0.26437802273633554,0.32698139676097815,0.7547088913240809,0.7847846030144227,0.4104681039767318,0.3855419963089601,0.44162246989374676,0.4783440186682474,0.9636484748959981,0.6473867560706249,0.918569878584345,21.0,1,18/05/2016
0.8036272646994503,0.47734654061821385,0.5394229965730487,0.8926166252815929,0.9204440020889322,0.25037017396491223,0.3105118518954157,0.7530990321721404,0.7805673624916949,0.4130766521892241,0.38711569550351227,0.45105057533904297,0.48746055046513553,0.9627358201319617,0.6484195975477683,0.9079886334280542,21.0,1,23/05/2016
0.7674459471291899,0.4645031359379033,0.5094550523189914,0.8690703833676899,0.9011788950684673,0.24321722991141828,0.29556726488777646,0.7569626941367956,0.7877042310686206,0.37916552542682375,0.3363281305884205,0.39618611025823885,0.5816818291504957,0.9635248363783082,0.5520710209139619,0.8430903298028068,21.0,1,27/07/2016
0.7694560203275375,0.44095689402400023,0.47734654061821385,0.8776326531545643,0.9118817323020597,0.22950742047555336,0.28306261045281267,0.7498793138682618,0.7821893780773598,0.32960310938946935,0.372952402752543,0.4021427271781598,0.5989683612990967,0.9618173995719256,0.5661482817688064,0.8593149057091193,21.0,1,07/08/2016
0.7638278153721638,0.4559408661510289,0.4987522150853989,0.8776326531545643,0.9118817323020597,0.2241427124354344,0.2797077031653822,0.7640460744053296,0.7951655027626809,0.3922082664892855,0.33618506702527934,0.4178991821941914,0.6096395808243978,0.9633984640665845,0.5581425585460003,0.8557878239903555,21.0,1,10/08/2016
0.7573955811374508,0.4623625684911852,0.500892782532117,0.8776326531545643,0.9118817323020597,0.21251917834850603,0.26689805715883425,0.7559967786456319,0.7896506497714201,0.40264245933925474,0.3072862272707764,0.42259536086611027,0.622707765154681,0.9639312510738987,0.5480739090552661,0.8205170068027209,21.0,1,17/08/2016
0.7658378885705114,0.46664370338462147,0.5051739174255532,0.8776326531545643,0.9097411648553398,0.2119230996773831,0.2675080403020023,0.7563187504760187,0.7915970684742166,0.3895997182767931,0.31830212163264143,0.4144896430020372,0.6652586123861978,0.96511680527119,0.5410032695998087,0.8219278394902261,21.0,1,21/08/2016
0.7573955811374508,0.458081433597747,0.49447108019196073,0.8583675461340974,0.8990383276217473,0.21073094233513404,0.26445812458615886,0.7508452293594255,0.774142352892514,0.3661227843643621,0.3257414269159788,0.3785760888564152,0.6244931357643168,0.9630434833272457,0.5801248916660544,0.823338672177732,21.0,1,23/08/2016
